19,tov_offensive_goaltending,"Turnovers of type 'offensive goaltending' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
20,tov_lane_violation,"Turnovers of type 'lane violation' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
21,tov_unspecified,"Turnovers of type 'unspecified' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
22,tov_basket_from_below,"Turnovers of type 'basket from below' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
23,tov_illegal_assist,"Turnovers of type 'illegal assist' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
24,tov_punched_ball,"Turnovers of type 'punched ball' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
25,tov_swinging_elbows,"Turnovers of type 'swinging elbows' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
26,tov_jumpball_violation,"Turnovers of type 'jumpball violation' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
27,tov_5_second_back_to_the_basket,"Turnovers of type '5 second back to the basket' this player committed in this exact game, mined from play_by_play event text.","Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_1 (who committed it). NOTE: 5 turnover types (shot clock, 5/8-second, excess timeout, too many players) never name a player in ESPN's feed at all - those turnovers count toward player_game_logs.tov but can't be broken out here (~7% of all turnovers, verified empirically - see player_turnover_features table description).",play_by_play.type_text; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
28,stl_unspecified,"Steals this player got by forcing a 'unspecified' turnover in this exact game, mined from play_by_play event text.",Counted from play_by_play rows where type_text matches this turnover subtype and this player is athlete_2 (who forced/stole it) - only Bad Pass and Lost Ball turnovers ever populate a second player (verified empirically: every other turnover type is 0%).,play_by_play.type_text; play_by_play.athlete_id_2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
